Order ID,Order Date,Customer ID,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,CG-12520,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0.0,41.9136
CA-2016-152156,2016-11-08,CG-12520,FUR-CH-10000454,Furniture,Chairs,731.94,3,0.0,219.582
CA-2016-138688,2016-06-12,DV-13045,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0.0,6.8714
US-2015-108966,2015-10-11,SO-20335,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.031
US-2015-108966,2015-10-11,SO-20335,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164
CA-2014-115812,2014-06-09,BH-11710,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0.0,14.1694
CA-2014-115812,2014-06-09,BH-11710,OFF-AR-10002833,Office Supplies,Art,7.28,4,0.0,1.9656
CA-2014-115812,2014-06-09,BH-11710,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152
CA-2014-115812,2014-06-09,BH-11710,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825
CA-2014-115812,2014-06-09,BH-11710,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0.0,34.47
CA-2014-115812,2014-06-09,BH-11710,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3091999999998
CA-2014-115812,2014-06-09,BH-11710,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568
CA-2017-114412,2017-04-15,AA-10480,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432
CA-2016-161389,2016-12-05,IM-15070,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922
US-2015-118983,2015-11-22,HP-14815,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858
US-2015-118983,2015-11-22,HP-14815,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816
CA-2014-105893,2014-11-11,PK-19075,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0.0,13.3176
CA-2014-167164,2014-05-13,AG-10270,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0.0,9.99
CA-2014-143336,2014-08-27,ZD-21925,OFF-AR-10003056,Office Supplies,Art,8.56,2,0.0,2.4824
CA-2014-143336,2014-08-27,ZD-21925,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011
CA-2014-143336,2014-08-27,ZD-21925,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.384
CA-2016-137330,2016-12-09,KB-16585,OFF-AR-10000246,Office Supplies,Art,19.46,7,0.0,5.0596
CA-2016-137330,2016-12-09,KB-16585,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,0.0,15.6884
US-2017-156909,2017-07-16,SF-20065,FUR-CH-10002774,Furniture,Chairs,71.372,2,0.3,-1.0196
CA-2015-106320,2015-09-25,EB-13870,FUR-TA-10000577,Furniture,Tables,1044.63,3,0.0,240.2649
CA-2016-121755,2016-01-16,EH-13945,OFF-BI-10001634,Office Supplies,Binders,11.648,2,0.2,4.2224
CA-2016-121755,2016-01-16,EH-13945,TEC-AC-10003027,Technology,Accessories,90.57,3,0.0,11.7741
US-2015-150630,2015-09-17,TB-21520,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
US-2015-150630,2015-09-17,TB-21520,OFF-BI-10000474,Office Supplies,Binders,9.618,2,0.7,-7.0532
US-2015-150630,2015-09-17,TB-21520,FUR-FU-10004848,Furniture,Furnishings,124.2,3,0.2,15.525
US-2015-150630,2015-09-17,TB-21520,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2,0.2,1.1016
US-2015-150630,2015-09-17,TB-21520,OFF-AR-10004042,Office Supplies,Art,86.304,6,0.2,9.70919999999999
US-2015-150630,2015-09-17,TB-21520,OFF-BI-10001525,Office Supplies,Binders,6.858,6,0.7,-5.715
US-2015-150630,2015-09-17,TB-21520,OFF-AR-10001683,Office Supplies,Art,15.76,2,0.2,3.546
CA-2017-107727,2017-10-19,MA-17560,OFF-PA-10000249,Office Supplies,Paper,29.472,3,0.2,9.9468
CA-2016-117590,2016-12-08,GH-14485,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.4737
CA-2016-117590,2016-12-08,GH-14485,FUR-FU-10003664,Furniture,Furnishings,190.92,5,0.6,-147.963
CA-2015-117415,2015-12-27,SN-20710,OFF-EN-10002986,Office Supplies,Envelopes,113.328,9,0.2,35.415
CA-2015-117415,2015-12-27,SN-20710,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,0.32,-46.9764
CA-2015-117415,2015-12-27,SN-20710,FUR-CH-10004218,Furniture,Chairs,212.058,3,0.3,-15.147
CA-2015-117415,2015-12-27,SN-20710,TEC-PH-10000486,Technology,Phones,371.168,4,0.2,41.7564
CA-2017-120999,2017-09-10,LC-16930,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564
CA-2016-101343,2016-07-17,RA-19885,OFF-ST-10003479,Office Supplies,Storage,77.88,2,0.0,3.89399999999999
CA-2017-139619,2017-09-19,ES-14080,OFF-ST-10003282,Office Supplies,Storage,95.616,2,0.2,9.56160000000001
CA-2016-118255,2016-03-11,ON-18715,TEC-AC-10000171,Technology,Accessories,45.98,2,0.0,19.7714
